"","Protocol","Source","Destination","n"
"1","TLSv1.2","173.194.44.20","10.0.2.15",142
"2","TCP","10.0.2.15","173.194.44.20",132
"3","DNS","10.0.2.15","192.168.0.1",58
"4","DNS","192.168.0.1","10.0.2.15",58
"5","TCP","10.0.2.15","173.194.44.63",34
"6","TCP","173.194.44.20","10.0.2.15",33
"7","TLSv1.2","10.0.2.15","173.194.44.20",31
"8","TLSv1.2","173.194.44.63","10.0.2.15",31
"9","TCP","10.0.2.15","173.194.221.196",27
"10","TLSv1.3","173.194.221.196","10.0.2.15",25
"11","TCP","173.194.32.205","10.0.2.15",18
"12","TLSv1.2","10.0.2.15","173.194.32.205",16
"13","TCP","173.194.44.63","10.0.2.15",15
"14","TLSv1.2","173.194.32.205","10.0.2.15",12
"15","TCP","10.0.2.15","2.23.167.51",11
"16","TCP","2.23.167.51","10.0.2.15",10
"17","TCP","10.0.2.15","173.194.222.95",9
"18","TCP","10.0.2.15","173.194.32.205",9
"19","TCP","173.194.44.90","10.0.2.15",9
"20","TLSv1.2","10.0.2.15","173.194.44.63",9
"21","TCP","173.194.222.95","10.0.2.15",8
"22","TLSv1.2","10.0.2.15","173.194.44.90",8
"23","TCP","10.0.2.15","173.194.44.23",7
"24","TCP","10.0.2.15","173.194.44.31",7
"25","TCP","173.194.221.196","10.0.2.15",7
"26","TLSv1.3","173.194.222.95","10.0.2.15",7
"27","TCP","173.194.44.23","10.0.2.15",6
"28","TCP","173.194.44.31","10.0.2.15",6
"29","TLSv1.2","173.194.44.90","10.0.2.15",6
"30","TLSv1.3","10.0.2.15","173.194.221.196",6
"31","TLSv1.3","10.0.2.15","173.194.222.95",6
"32","OCSP","10.0.2.15","173.194.44.23",5
"33","OCSP","173.194.44.23","10.0.2.15",5
"34","TCP","10.0.2.15","173.194.44.90",5
"35","TCP","10.0.2.15","74.125.232.184",5
"36","TCP","74.125.232.184","10.0.2.15",5
"37","HTTP","10.0.2.15","2.23.167.51",2
"38","HTTP","2.23.167.51","10.0.2.15",2
"39","NTP","10.0.2.15","89.175.20.7",1
"40","NTP","89.175.20.7","10.0.2.15",1
"41","OCSP","10.0.2.15","173.194.44.31",1
"42","OCSP","173.194.44.31","10.0.2.15",1
"43","TLSv1.2","10.0.2.15","74.125.232.184",1
"44","TLSv1.2","74.125.232.184","10.0.2.15",1
